序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）
153667,猎聘,能源/化工/环保,化学,材料工程师（制氢设备）,猎头职位,某知名公司,100-499人,,杭州,南京,本科,3-5年,15-25k,,,,https://www.liepin.com/a/74362807.shtml,20260608080340,,,,
153668,猎聘,能源/化工/环保,化学,核苷酸研究员,猎头职位,某苏州知名制药公司,100-499人,,杭州,苏州,本科,1-3年,15-20k,,,,https://www.liepin.com/a/74637879.shtml,20260609161914,,,,
153669,猎聘,能源/化工/环保,化学,分析测试工程师,猎头职位,某北京金属制品上市公司,1000-2000人,,杭州,南通,统招本科,3-5年,15-30k,,,,https://www.liepin.com/a/76036583.shtml,20260609163722,,,,
153670,猎聘,能源/化工/环保,化学,理化实验室测试工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-江宁区,统招本科,1-3年,15-25k·16薪,,,,https://www.liepin.com/a/73970523.shtml,20260609111951,,,,
153671,猎聘,能源/化工/环保,化学,连续流合成研究员,猎头职位,某南京制药上市公司,1000-2000人,,杭州,南京-浦口区,统招本科,3-5年,12-18k·14薪,,,,https://www.liepin.com/a/73499185.shtml,20260608164736,,,,
153672,猎聘,能源/化工/环保,化学,有机合成研究员（中间体 CDMO）,猎头职位,某上海制药上市公司,100-499人,,杭州,南通,硕士,3-5年,15-18k·13薪,,,,https://www.liepin.com/a/76141265.shtml,20260604091710,,,,
153673,猎聘,能源/化工/环保,化学,车间主任,猎头职位,某国内制药公司,50-99人,,杭州,泰州-泰兴,学历不限,3-5年,15-30k,,,,https://www.liepin.com/a/75573227.shtml,20260512144314,,,,
153674,猎聘,能源/化工/环保,化学,药化研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3年以上,14-20k,,,,https://www.liepin.com/a/75632947.shtml,20260513170538,,,,
153675,猎聘,能源/化工/环保,化学,合成研究员,猎头职位,某知名公司,100-499人,,杭州,苏州,硕士,3-5年,13-21k·14薪,,,,https://www.liepin.com/a/74740661.shtml,20260513171538,,,,
153676,猎聘,能源/化工/环保,化学,分析工程师（上市公司）,猎头职位,某苏州大型新能源公司,5000-10000人,,杭州,苏州-张家港,硕士,1-3年,12-18k·14薪,,,,https://www.liepin.com/a/76312209.shtml,20260609104002,,,,
153677,猎聘,能源/化工/环保,化学,理化实验室测试工程师,猎头职位,某南京大型新能源公司,1000-2000人,,杭州,南京-江宁区,本科,2年以上,15-25k·16薪,,,,https://www.liepin.com/a/73930565.shtml,20260609131058,,,,
153678,猎聘,能源/化工/环保,化学,材料工程师,猎头职位,某大型新能源公司,5000-10000人,,杭州,南京-栖霞区,本科,3年以上,20-30k,,,,https://www.liepin.com/a/75690711.shtml,20260514183754,,,,
153679,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3年以上,14-15k,,,,https://www.liepin.com/a/75633265.shtml,20260513162604,,,,
153680,猎聘,能源/化工/环保,化学,保护膜涂布工艺工程师（光学膜、胶带、保护膜、硬化膜）,猎头职位,某大型世界500强化工公司,5000-10000人,,杭州,苏州,大专,5-10年,22-30k·15薪,,,,https://www.liepin.com/a/75305253.shtml,20260609084138,,,,
153681,猎聘,能源/化工/环保,化学,电池辅材开发工程师,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,统招本科,1-3年,20-30k·16薪,,,,https://www.liepin.com/a/73644309.shtml,20260609084836,,,,
153682,猎聘,能源/化工/环保,化学,质量研究员,猎头职位,某国内制药上市公司,5000-10000人,,杭州,常州-新北区,本科,1-3年,10-15k,,,,https://www.liepin.com/a/75575361.shtml,20260512150332,,,,
153683,猎聘,能源/化工/环保,化学,供应商质量管理,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,常州-金坛区,学历不限,3-5年,25-35k·17薪,,,,https://www.liepin.com/a/75942503.shtml,20260609135539,,,,
