序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,薪资,学历,工作经验,发布日期,福利标签,工作内容,任职要求,技能标签,公司行业,岗位链接
1,猎聘,能源/化工/环保,矿物加工,运营主管,企业,某北京知名上市公司,1000-2000人,北京市,北京,北京,10-15k·18薪,本科,5-10年,20260523171819,18薪,"：
作为集团生产运营调度的核心骨干，您将负责集团总部与子公司之间的生产协同与指挥，确保全链条的高效运转：
​生产计划统筹：​​ 根据集团年度经营目标，组织编制并审核子公司（矿山、选厂、冶炼厂）的月度、周度生产作业计划，确保计划的可行性与科学性。
​运营调度指挥：​​ 负责集团日常生产的统一调度指挥，监控各子公司的生产进度、设备运行及物料平衡，及时协调解决生产过程中的“卡脖子”问题。
​现场管理与督导：​​ 定期深入一线（采选冶现场），检查生产规范执行情况，排查安全隐患，推动精益生产（Lean Production），确保生产合规与安全。
​数据统计分析：​​ 收集、汇总并分析生产数据（产量、能耗、回收率、成本等），编制运营分析报告，为集团管理层提供决策支持。
​跨部门协同：​​ 协调集团内部技术、设备、安环等部门资源，保障原辅料供应与生产物流畅通，优化资源配置效率。
​应急事件处理：​​ 建立并完善生产突发事件应急预案，在生产出现异常（如设备故障、工艺波动）时，第一时间介入并指导现场处理。","​教育背景：​​ ​统招本科及以上学历，矿物加工工程、采矿工程、冶金工程、化学工程等相关专业。
​工作经验：​​
具有5年以上采选冶一线生产管理经验​（必须），熟悉矿山开采、选矿或火法/湿法冶炼的完整工艺流程。
有大型矿业集团总部运营管理经验，或熟悉铯、铷等稀有金属生产特性者优先考虑。
​专业技能：​​
精通生产调度管理流程，能够熟练运用ERP、MES等生产管理系统。
具备极强的现场问题解决能力，对生产数据敏感，逻辑分析能力强。
​综合素质：​​ 具备优秀的沟通协调能力、抗压能力及领导力，能够适应偶尔的出差及不定时工作制。
 查看全部",JavaScript / 沟通协调 / CSS / Java / React / PMP / Go / HTML / jQuery / UG / AI,专业技术服务,https://www.liepin.com/a/75863339.shtml
2,猎聘,能源/化工/环保,矿物加工,氟化工全产业链技术主管,企业,三通控股有限公司,100-499人,北京-海淀区,北京-海淀区,北京-海淀区,18-30k,大专,2年以上,20260608093622,技能培训,"：
1. 负责萤石选矿、浮选、提纯全流程管控，优化生产工艺与药剂配比，保障萤石精粉产品品质与产能达标，及时解决现场生产技术难题。
2. 统筹萤石精粉深加工衔接工作，对接下游氟化工生产线，把控原料转运、预处理等环节工艺标准。
3. 负责制冷剂、无水氟化氢生产线的工艺巡检、参数调试、流程优化，落实安全生产与环保规范。
4. 主导电子级氟化液、六氟磷酸锂等高端含氟产品的工艺管理、质量管控、试验改进，跟踪产品量产及技术迭代。
5. 编制生产操作规程、技术报表、工艺方案，梳理产业链技术资料，配合完成设备调试、技改项目、成本管控及降本增效工作。
6. 落实行业安全、环保、质量相关法规要求，开展一线技术指导、人员技能培训，配合完成产品检测、异常问题追溯处理。","1. 学历专业：大专及以上学历，矿物加工、化学工程、应用化学、精细化工、材料工程等相关专业优先。
2. 从业经验：熟悉萤石选矿、萤石精粉加工工艺，精通下游氟化工产业链，掌握制冷剂、无水氟化氢、电子级氟化液、六氟磷酸锂任一或多类产品生产工艺、技术原理及质量标准；具备 2 年及以上相关行业一线技术、工艺或生产管理经验，资深从业者、有全产业链从业经历者优先。
3. 专业能力：熟练掌握萤石浮选、选矿提纯核心技术，了解氟化工反应原理、设备运行逻辑；能独立排查生产故障、优化工艺流程，看懂工艺图纸，熟练使用办公软件。
4. 素养要求：严格遵守化工行业安全操作规程，具备较强的责任心、执行力与团队协作能力；能适应生产一线工作，抗压能力强，认同行业发展理念。
5. 优先条件：持有化工安全、选矿、化验等相关职业证书；有高端电子氟材料、锂电级六氟磷酸锂、电子级氟化液项目实操经验者优先
 查看全部",CSS / React / PMP / Go / HTML / jQuery / UG / AI,其他金融,https://www.liepin.com/job/1983230151.shtml
3,猎聘,能源/化工/环保,矿物加工,选矿专业技术工程师(机械方向·大型选矿设备选型),企业,某知名公司,5000-10000人,北京市,北京,北京,40-50k,统招本科,3-5年,20260610090301,18薪 / 13薪 / 14薪 / 15薪,"1.对标设计院工艺专业，负责矿山选矿厂大型机械设备设计选型、设备布置、配套机械设计。
2.完成破碎、磨矿、浮选、浓密机、压滤机、皮带输送、给料机等大型选矿设备选型、参数核算、性能比选。
3.对接选矿工艺专业，落实设备安装条件、荷载、基础、预埋件、检修空间，输出设备表、安装图、机械配套图纸。
4.参与设备招标、技术规格书编制、设备厂家技术对接，把控设备技术参数、供货范围。
5.配合施工、调试阶段设备安装、试运行技术支持，解决设备选型、安装、调试机械类问题。","1.本科及以上，机械设计制造、矿山机械、矿物加工工程相关专业;设计院设备/工艺专业背景优先。
2.3年及以上大型选矿设备选型、机械配套设计经验，熟悉主流选矿设备厂家及型号参数。
3.懂选矿工艺流程，可根据工艺要求匹配设备，熟悉设备安装、荷载、振动特性。
4.熟练使用CAD，能独立完成设备选型、布置、技术核算，可对接设备厂家。
5.可接受项目驻场、出差，适配EPC项目全周期技术服务。
 查看全部",JavaScript / CSS / Java / 英语 / React / CAD / PMP / Go / HTML / jQuery / UG / AI,批发/零售,https://www.liepin.com/a/75909635.shtml
4,猎聘,能源/化工/环保,矿物加工,选矿工程师,企业,某北京矿产开采上市公司,1000-2000人,北京市,北京,北京,20-30k·18薪,硕士,5年以上,20260529100515,16薪 / 18薪 / 五险一金 / 15薪 / 五险 / 14薪,"从事选矿技术管理及工艺流程优化，提高回收率。
1.对集团所属选厂进行技术、方案、指标分析，管理和控制生产指标；
2.编制选矿技术方案；
3.解决选矿中出现的技术问题","1.学历要求：本科及以上学历； 
2.专业要求 矿物加工工程专业；
3.技能要求：熟悉选矿工艺流程；熟练使用CAD软件； 4.取得
 查看全部",JavaScript / CSS / Java / 熟悉选矿工艺流程；熟练使用CAD软件； / React / CAD / PMP / Go / HTML / jQuery / UG / AI / 4.取得,专业技术服务,https://www.liepin.com/a/76191755.shtml
5,猎聘,能源/化工/环保,矿物加工,选矿工程师（技术工程师）,企业,某知名公司,100-499人,北京-西城区,北京-西城区,北京-西城区,30-60k,硕士,5-10年,20260610092940,16薪 / 13薪 / 18薪 / 15薪,"矿物加工相关专业，硕士学历（985高校优先），6-8年研究院所工作经验，中级或副高级职称，具有国内外多个有色金属矿选矿研究项目经验，熟悉铜铅锌硫金等有色金属矿选矿，担任过项目负责人，有多项论文、专利、科技奖等研究成果，具有自主研发能力，能够独立撰写项目立项报告、研究报告、评价报告等，能够阅研英文技术报告。
 查看全部","2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。
 3. 本平台招聘方不向求职者提供任何收费服务。
 查看全部
 相关推荐
 展开
 北京选矿工程师招聘
 北京选矿助剂工程师招聘
 北京探矿工程高级工程师招聘
 北京海外选矿工艺工程师招聘
 北京选矿厂工程师招聘
 北京选矿工程师助理招聘
 北京锂矿选矿工程师招聘
 北京选矿药剂工程师招聘
 北京矿山开发工程师招聘
 北京选矿厂生产经理招聘
 北京选矿工程师岗位招聘
 北京金属矿选矿工程师招聘
 北京洗选矿班长招聘
 北京锰矿工程师招聘
 北京选冶工程师招聘
 北京选矿车间主管招聘
 北京水力工程师招聘
 北京砂石工艺工程师招聘
 北京选煤设计工程师招聘
 北京矿山技术工程师招聘
 北京化工实验室工程师招聘
 北京选矿设计招聘
 北京洗选矿矿长招聘
 北京选矿专家招聘
 北京选矿设计师招聘
 北京选矿主管招聘
 北京通防工程师招聘
 北京选矿厂经理招聘
 北京技术科招聘
 北京矿物选矿实验员招聘
 相关公司
 北京隆融天达科技有限公司
 北京亿安可迅科技有限公司
 成都欧盛腾企业管理有限公司
 北京市朝阳区江达爱心养老院
 北京久威科技有限公司
 北京金达海利国际贸易有限公司
 北京进化私募基金管理有限公司
 北京臻果优悦商贸有限公司
 北京京世博管理顾问有限公司
 递蓝科
 北京华宇万维科技发展有限公司
 北京华诚奥博钢结构有限公司
 中投中财基金管理有限公司
 北京万合世融建筑工程有限公司
 北京一诺至诚营销咨询有限公司
 热门城市
 北京招聘网
 上海招聘网
 广州招聘网
 厦门招聘网
 杭州招聘网
 郑州招聘网
 南京招聘网
 天津招聘网
 重庆招聘网
 成都招聘网
 苏州招聘网
 商丘招聘网
 大连招聘网
 济南招聘网
 宁波招聘网
 无锡招聘网
 青岛招聘网
 沈阳招聘网
 台州招聘网
 西安招聘网
 武汉招聘网
 周边城市
 石家庄找工作
 保定找工作
 张家口找工作
 承德找工作
 沧州找工作
 唐山找工作
 廊坊找工作
 衡水找工作
 秦皇岛找工作
 邯郸找工作
 雄安新区找工作
 邢台找工作
 北京招聘网
 >
 北京选矿工程师招聘
 >
 选矿工程师（技术工程师）招聘
 收藏职位
 立即沟通
 更新时间：2026-06-10",JavaScript / CSS / Java / 英语 / React / PMP / Go / HTML / jQuery / UG / AI,批发/零售,https://www.liepin.com/a/74486063.shtml
6,猎聘,能源/化工/环保,矿物加工,【金属矿】选矿工程师,企业,某国内矿产开采上市公司,10000人以上,北京市,北京,北京,20-40k,本科,3-5年,20260610092844,16薪 / 18薪 / 13薪 / 15薪 / 14薪,"：
1、负责选矿工艺参数跟踪确定，指导现场调整工艺技术指标；
2、定期培训现场操作工，不断提高员工操作技能； 
3、监督现场工艺参数执行情况，做好工艺参数统计及分析；
4、做好金属平衡及流程考察等工作；
5、组织选矿工艺技术改造和工艺流程小改小革； 
6、负责收集、整理和归档选矿、质计等方面的图纸、资料等。","1、矿物加工等相关专业本科及以上学历；
2、熟悉浮选重选磁选等选矿工作原理；
3、专业知识扎实，动手能力强，具备问题解决能力；
4、熟悉日常办公软件，能准确出具数据报表；
5、具备一定的承压能力，能适应偏远矿区的工作生活，吃苦耐劳，责任心强，团队合作能力强；
6、有复杂难选矿攻关和生产经历的选矿技术人员优先考虑。
 查看全部",JavaScript / CSS / Java / React / CAD / PMP / Go / HTML / jQuery / UG / AI,矿产开采,https://www.liepin.com/a/73711355.shtml
7,猎聘,能源/化工/环保,矿物加工,电解工程师（外海）,企业,福建中爆企业管理服务有限公司,/,北京-丰台区,北京-丰台区,北京-丰台区,15-20k·13薪,大专,5-10年,20260601144734,管理规范 / 发展空间大 / 年终奖金 / 带薪年假 / 18薪 / 领导好 / 年终奖 / 五险一金 / 交通补助 / 海外保险 / 13薪 / 15薪 / 公司规模大 / 五险 / 生日礼物 / 14薪 / 提供住宿,"招聘岗位：电解工程师（高温）
地点：（金矿）
薪资：1.5～2.0万 税后 13薪
福利待遇：管吃住+1个月假期+每年报销2次机票+晋升并调整薪资待遇+生日礼物+劳保用品
学历：大专全日制及以上优先
专业：冶金工程/电化学/化学工程/矿物加工等相关专业
职称: 中级职称
年龄：50岁以内","1.有5年以上金矿冶炼解析电解一线+技术管理经验，精通高温高压解析+氰化/氯化电解工艺
2.具备独立解决99.99%+高纯金精炼技术难题的成功案例；熟悉高温电解槽设计、热管理与腐蚀防护，能处理高温工况异常
3. 熟练操作ICP、高精度整流器、解析柱、电解槽等设备； 掌握CAD绘图，能编制工艺流程图、设备维护手册；具备工艺建模、参数优化、数据分析能力
4. 能适应矿山高温、密闭、含氰化物作业环境，责任心强、抗压、团队协作，具备安全与环保意识
 查看全部",CSS / React / CAD / PMP / 数据分析 / Go / HTML / jQuery / UG / AI,咨询服务,https://www.liepin.com/job/1981996755.shtml
8,猎聘,能源/化工/环保,矿物加工,矿山竖井建设项目总,企业,某北京矿产开采上市公司,5000-10000人,北京市,北京,北京,50-80k,统招本科,10年以上,20260413161342,18薪 / 13薪 / 15薪 / 团队建设 / 14薪,"一、项目总体管理
负责矿山建设项目整体规划与实施管理，包括地下矿竖井工程、新建选矿厂以及现有选厂扩建工程。
制定项目总体实施计划、关键里程碑及执行策略，并监督各阶段工作按计划推进。
统筹工程建设全过程管理，包括可行性研究、初步设计、详细设计、施工建设、设备安装、试车及竣工验收。
二、工程建设管理
负责地下矿竖井工程建设的技术与施工管理，包括井筒施工、提升系统及相关配套设施建设。
负责新建选矿厂建设及尾矿库项目的全过程管理，包括 EPC/EPCM 模式下的工程管理与协调。
负责现有选矿厂扩建项目的规划、施工组织及与生产系统的衔接协调。
确保工程建设符合国际矿山工程标准和公司技术规范。
三、进度、成本与质量控制
建立完善的项目管理体系，对项目进度、预算、质量及风险进行全面管控。
组织制定并审核项目预算和投资计划，确保项目在批准的投资范围内实施。
监控工程施工进度，协调资源，解决施工过程中出现的技术及管理问题。
建立质量控制体系，确保工程建设符合设计标准及行业规范。
四、安全与风险管理
建立并落实矿山建设项目的安全管理体系。
确保施工现场严格执行安全生产标准及当地法规。
对工程建设中的技术风险、施工风险及运营风险进行识别与控制。
五、招投标与合同管理
组织或参与 EPC/EPCM 总承包单位及主要施工单位的招标与评标工作。
负责工程合同管理，包括合同谈判、执行监督及变更管理。
协调设计单位、施工单位、设备供应商及监理单位之间的合作关系。
六、团队建设与管理
建立并领导项目工程管理团队，包括工程、施工、设备、成本及安全等专业人员。
明确团队职责分工，建立高效的项目管理机制。
指导和培养本地及国际团队成员，提升团队整体执行力。
七、试车与投产
组织选矿厂设备安装、调试及试车工作。
协调生产、技术及工程团队，确保项目顺利实现投产目标。
参与制定选厂达产方案并推动实施。
八、集团协调与汇报
定期向矿山总经理及集团管理层汇报项目进展。
参与集团重大项目决策及资源协调。
代表项目公司与政府机构、合作伙伴及相关利益方进行沟通协调。","采矿工程、矿物加工工程、土木工程或相关专业 本科及以上学历。
10年以上矿山建设项目经验，其中至少 5年以上大型矿山工程管理经验。
具有 地下矿建设经验（竖井优先） 以及 选矿厂建设经验，黄金选厂优先。
熟悉矿山建设项目管理流程，包括 可研、设计、EPC/EPCM、施工管理及试车投产。
具备较强的 项目规划能力、组织协调能力及团队领导能力。
熟悉矿山工程相关国际标准及项目管理体系。
英语为工作语言。
有 非洲矿山项目经验（如加纳、科特迪瓦、几内亚等）者优先。
 查看全部",JavaScript / 沟通协调 / CSS / Java / 项目管理 / 英语 / React / PMP / Go / HTML / jQuery / UG / AI,矿产开采,https://www.liepin.com/a/74573151.shtml
9,猎聘,能源/化工/环保,矿物加工,选矿工程师（英文良好）,企业,某化工公司,50-99人,北京市,北京,北京,20-40k·16薪,硕士,5年以上,20260610090540,16薪 / 18薪 / 13薪 / 15薪 / 14薪,"职责：从事选矿技术管理及工艺流程优化，提高回收率。
要求：
1、学历要求：硕士及以上学历， 矿物加工工程相关专业；
2、熟悉选矿工艺流程；熟练使用CAD软件； 
3、优先锂矿和铜矿
 查看全部","2. 如您应聘的岗位属于涉外劳务合作/海外岗位的，请务必核实招聘方对外劳务合作资质取得情况，同时注意自身资金安全，防范招聘欺诈。
 3. 本平台招聘方不向求职者提供任何收费服务。
 查看全部
 相关推荐
 展开
 北京选矿工程师招聘
 北京选矿助剂工程师招聘
 北京探矿工程高级工程师招聘
 北京海外选矿工艺工程师招聘
 北京选矿厂工程师招聘
 北京选矿工程师助理招聘
 北京锂矿选矿工程师招聘
 北京选矿药剂工程师招聘
 北京矿山开发工程师招聘
 北京选矿厂生产经理招聘
 北京选矿工程师岗位招聘
 北京金属矿选矿工程师招聘
 北京洗选矿班长招聘
 北京锰矿工程师招聘
 北京选冶工程师招聘
 北京选矿车间主管招聘
 北京水力工程师招聘
 北京砂石工艺工程师招聘
 北京选煤设计工程师招聘
 北京矿山技术工程师招聘
 北京化工实验室工程师招聘
 北京选矿设计招聘
 北京洗选矿矿长招聘
 北京选矿专家招聘
 北京选矿设计师招聘
 北京选矿主管招聘
 北京通防工程师招聘
 北京选矿厂经理招聘
 北京技术科招聘
 北京矿物选矿实验员招聘
 相关公司
 北京隆融天达科技有限公司
 北京亿安可迅科技有限公司
 成都欧盛腾企业管理有限公司
 北京市朝阳区江达爱心养老院
 北京久威科技有限公司
 北京金达海利国际贸易有限公司
 北京进化私募基金管理有限公司
 北京臻果优悦商贸有限公司
 北京京世博管理顾问有限公司
 递蓝科
 北京华宇万维科技发展有限公司
 北京华诚奥博钢结构有限公司
 中投中财基金管理有限公司
 北京万合世融建筑工程有限公司
 北京一诺至诚营销咨询有限公司
 热门城市
 北京招聘网
 上海招聘网
 广州招聘网
 厦门招聘网
 杭州招聘网
 郑州招聘网
 南京招聘网
 天津招聘网
 重庆招聘网
 成都招聘网
 苏州招聘网
 商丘招聘网
 大连招聘网
 济南招聘网
 宁波招聘网
 无锡招聘网
 青岛招聘网
 沈阳招聘网
 台州招聘网
 西安招聘网
 武汉招聘网
 周边城市
 石家庄找工作
 保定找工作
 张家口找工作
 承德找工作
 沧州找工作
 唐山找工作
 廊坊找工作
 衡水找工作
 秦皇岛找工作
 邯郸找工作
 雄安新区找工作
 邢台找工作
 北京招聘网
 >
 北京选矿工程师招聘
 >
 选矿工程师（英文良好）招聘
 收藏职位
 立即沟通
 更新时间：2026-06-10",JavaScript / CSS / Java / React / CAD / PMP / Go / HTML / jQuery / UG / AI,新能源,https://www.liepin.com/a/75849373.shtml
10,猎聘,能源/化工/环保,矿物加工,选矿经理-国际技术服务部,企业,某知名公司,/,北京市,北京,北京,50-80k,统招本科,10年以上,20260610090506,绩效奖金 / 年度绩效 / 团队建设 / 期权 / 股权激励,"1. 选矿建厂全流程管控
对接设计院完成选矿方案评审、图纸审核；统筹选矿设备选型、技术评标、采购监造；跟进现场施工，管控项目质量、进度与安全。
 2. 投产生产与工艺成本管控
统筹选矿日常生产，跟踪处理量、回收率、精矿品位等核心指标；持续优化工艺流程、药剂制度，管控水电、药剂、备品单耗，压降选矿生产成本。
 3. 技术攻关与新工艺落地
针对回收率异常、精矿杂质超标等生产难题专项攻关；调研行业新技术、新药剂，择优落地应用。
 4. 属地团队建设
搭建中外混合选矿班组，落地SOP、安全及实操培训，推进现场属地化管理。
 5. 跨部门协同汇报
联动采矿、地质、销售协同对接；按月向国际事业部VP提交生产与技术报表。
 三、","1. 学历&经验：选矿/矿物加工本科及以上，8年+选矿从业经历，3年以上选矿厂技术/生产负责人履历，完整经历选矿厂从设计、采购到投产落地全周期；
2. 专业能力：精通金银铜铅锌浮选/重选/氰化/CIL等工艺，熟悉磨浮、浓缩、过滤等主力设备选型调试；
3. 语言&其他：英语流利可工作交流，熟练CAD；有海外矿山经历、选矿模拟软件使用经验优先，适配海外出差。
 四、工作&汇报
常驻北京总部，按需赴海外矿区驻场；汇报：国际事业部VP
 五、薪酬
基本年薪+年度绩效奖金+长期股权激励（期权/RSU）
 查看全部",JavaScript / CSS / Java / 英语 / React / CAD / PMP / Go / HTML / 熟练CAD；有海外矿山经历 / 适配海外出差。 / jQuery / UG / AI,/,https://www.liepin.com/a/76512487.shtml
