序号,招聘平台,岗位类型一级,岗位类型二级,岗位名称,岗位类型企业/公务员/事业单位/军队文职,公司名称,公司规模,所在省份,城市,详细地址,学历要求,经验要求,薪资范围,福利标签,工作内容,任职要求,岗位链接,发布时间,投递起始时间,投递截止时间,证书要求,备注（技能要求）,岗位类型一级,岗位类型二级,"岗位类型
企业/公务员/事业单位/军队文职"
153667,猎聘,能源/化工/环保,化学,材料工程师（制氢设备）,猎头职位,某知名公司,100-499人,,杭州,南京,本科,3-5年,15-25k,,,,https://www.liepin.com/a/74362807.shtml,20260608080340.0,,,,,,,
153668,猎聘,能源/化工/环保,化学,核苷酸研究员,猎头职位,某苏州知名制药公司,100-499人,,杭州,苏州,本科,1-3年,15-20k,,,,https://www.liepin.com/a/74637879.shtml,20260609161914.0,,,,,,,
153669,猎聘,能源/化工/环保,化学,分析测试工程师,猎头职位,某北京金属制品上市公司,1000-2000人,,杭州,南通,统招本科,3-5年,15-30k,,,,https://www.liepin.com/a/76036583.shtml,20260609163722.0,,,,,,,
153670,猎聘,能源/化工/环保,化学,理化实验室测试工程师,猎头职位,世界知名500强集团新能源事业部,5000-10000人,,杭州,南京-江宁区,统招本科,1-3年,15-25k·16薪,,,,https://www.liepin.com/a/73970523.shtml,20260609111951.0,,,,,,,
153671,猎聘,能源/化工/环保,化学,连续流合成研究员,猎头职位,某南京制药上市公司,1000-2000人,,杭州,南京-浦口区,统招本科,3-5年,12-18k·14薪,,,,https://www.liepin.com/a/73499185.shtml,20260608164736.0,,,,,,,
153672,猎聘,能源/化工/环保,化学,有机合成研究员（中间体 CDMO）,猎头职位,某上海制药上市公司,100-499人,,杭州,南通,硕士,3-5年,15-18k·13薪,,,,https://www.liepin.com/a/76141265.shtml,20260604091710.0,,,,,,,
153673,猎聘,能源/化工/环保,化学,车间主任,猎头职位,某国内制药公司,50-99人,,杭州,泰州-泰兴,学历不限,3-5年,15-30k,,,,https://www.liepin.com/a/75573227.shtml,20260512144314.0,,,,,,,
153674,猎聘,能源/化工/环保,化学,药化研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3年以上,14-20k,,,,https://www.liepin.com/a/75632947.shtml,20260513170538.0,,,,,,,
153675,猎聘,能源/化工/环保,化学,合成研究员,猎头职位,某知名公司,100-499人,,杭州,苏州,硕士,3-5年,13-21k·14薪,,,,https://www.liepin.com/a/74740661.shtml,20260513171538.0,,,,,,,
153676,猎聘,能源/化工/环保,化学,分析工程师（上市公司）,猎头职位,某苏州大型新能源公司,5000-10000人,,杭州,苏州-张家港,硕士,1-3年,12-18k·14薪,,,,https://www.liepin.com/a/76312209.shtml,20260609104002.0,,,,,,,
153677,猎聘,能源/化工/环保,化学,理化实验室测试工程师,猎头职位,某南京大型新能源公司,1000-2000人,,杭州,南京-江宁区,本科,2年以上,15-25k·16薪,,,,https://www.liepin.com/a/73930565.shtml,20260609131058.0,,,,,,,
153678,猎聘,能源/化工/环保,化学,材料工程师,猎头职位,某大型新能源公司,5000-10000人,,杭州,南京-栖霞区,本科,3年以上,20-30k,,,,https://www.liepin.com/a/75690711.shtml,20260514183754.0,,,,,,,
153679,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3年以上,14-15k,,,,https://www.liepin.com/a/75633265.shtml,20260513162604.0,,,,,,,
153680,猎聘,能源/化工/环保,化学,保护膜涂布工艺工程师（光学膜、胶带、保护膜、硬化膜）,猎头职位,某大型世界500强化工公司,5000-10000人,,杭州,苏州,大专,5-10年,22-30k·15薪,,,,https://www.liepin.com/a/75305253.shtml,20260609084138.0,,,,,,,
153681,猎聘,能源/化工/环保,化学,电池辅材开发工程师,猎头职位,某南京大型新能源公司,5000-10000人,,杭州,南京,统招本科,1-3年,20-30k·16薪,,,,https://www.liepin.com/a/73644309.shtml,20260609084836.0,,,,,,,
153682,猎聘,能源/化工/环保,化学,质量研究员,猎头职位,某国内制药上市公司,5000-10000人,,杭州,常州-新北区,本科,1-3年,10-15k,,,,https://www.liepin.com/a/75575361.shtml,20260512150332.0,,,,,,,
153683,猎聘,能源/化工/环保,化学,供应商质量管理,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,常州-金坛区,学历不限,3-5年,25-35k·17薪,,,,https://www.liepin.com/a/75942503.shtml,20260609135539.0,,,,,,,
153684,猎聘,能源/化工/环保,化学,固态电池研发专家,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,无锡,本科,5-10年,50-80k·20薪,,,,https://www.liepin.com/a/75924925.shtml,20260601161337.0,,,,,,,
153685,猎聘,能源/化工/环保,化学,电芯研发总监,猎头职位,某国内新能源上市公司,10000人以上,,杭州,常州-金坛区,硕士,10年以上,40-60k·15薪,,,,https://www.liepin.com/a/76105173.shtml,20260609114203.0,,,,,,,
153686,猎聘,能源/化工/环保,化学,研发工程师（聚氨酯弹性体、聚氨酯预聚体）,猎头职位,某国内橡胶/塑料制品公司,50-99人,,杭州,泰州,学历不限,经验不限,15-25k,,,,https://www.liepin.com/a/76256493.shtml,20260601134558.0,,,,,,,
153687,猎聘,能源/化工/环保,化学,EHS Manager,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,统招本科,10年以上,20-30k·15薪,,,,https://www.liepin.com/a/74638957.shtml,20260603173314.0,,,,,,,
153688,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某苏州学术/科研公司,100-499人,,杭州,苏州,硕士,3-10年,14-20k,,,,https://www.liepin.com/a/75632793.shtml,20260514081910.0,,,,,,,
153689,猎聘,能源/化工/环保,化学,合成工艺研究员,猎头职位,某知名公司,100-499人,,杭州,苏州,学历不限,经验不限,20-23k·13薪,,,,https://www.liepin.com/a/74928629.shtml,20260520103327.0,,,,,,,
153690,猎聘,能源/化工/环保,化学,研发工程师（聚氨酯，弹性体、预聚体，高铁、脚轮）,猎头职位,某国内电子/半导体/集成电路公司,50-99人,,杭州,泰州,大专,经验不限,15-30k,,,,https://www.liepin.com/a/76288123.shtml,20260609095642.0,,,,,,,
153691,猎聘,能源/化工/环保,化学,药化合成高级研究员,猎头职位,某国内大型制药公司,1000-2000人,,杭州,苏州,博士,5年以下,25-30k·13薪,,,,https://www.liepin.com/a/75787867.shtml,20260604170930.0,,,,,,,
153692,猎聘,能源/化工/环保,化学,有机合成研究员,猎头职位,某上海大型制药公司,500-999人,,杭州,无锡,本科,2年以上,15-30k,,,,https://www.liepin.com/a/74965709.shtml,20260609091810.0,,,,,,,
153693,猎聘,能源/化工/环保,化学,测试工程师,猎头职位,某国内新能源公司,50-99人,,杭州,常州,本科,3-5年,8-13k·14薪,,,,https://www.liepin.com/a/76076599.shtml,20260605182622.0,,,,,,,
153694,猎聘,能源/化工/环保,化学,质量分析研究员（大分子 ADC）,猎头职位,某苏州大型制药公司,500-999人,,杭州,苏州,硕士,3-5年,17-25k·14薪,,,,https://www.liepin.com/a/75828405.shtml,20260520133617.0,,,,,,,
153695,猎聘,能源/化工/环保,化学,药物分析研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州,本科,3-5年,14-20k,,,,https://www.liepin.com/a/75653819.shtml,20260514094953.0,,,,,,,
153696,猎聘,能源/化工/环保,化学,环安经理（制造业）,猎头职位,某苏州大型电子/半导体/集成电路公司,5000-10000人,,杭州,苏州,本科,10年以上,18-26k·14薪,,,,https://www.liepin.com/a/75113213.shtml,20260427180059.0,,,,,,,
153697,猎聘,能源/化工/环保,化学,材料研发岗（固态）,猎头职位,某国内大型新能源公司,5000-10000人,,杭州,常州,博士,5-10年,40-60k·20薪,,,,https://www.liepin.com/a/73912539.shtml,20260602151626.0,,,,,,,
153698,猎聘,能源/化工/环保,化学,合成工艺研究员-高级研究员,猎头职位,某苏州知名公司,100-499人,,杭州,苏州-工业园区,本科,3-5年,15-25k,,,,https://www.liepin.com/a/74836499.shtml,20260420152430.0,,,,,,,
153699,猎聘,能源/化工/环保,化学,Biology-SM/AD,猎头职位,某苏州制药公司,1-49人,,杭州,苏州-工业园区,硕士,5-10年,30-50k·14薪,,,,https://www.liepin.com/a/75841839.shtml,20260609093527.0,,,,,,,
153700,猎聘,能源/化工/环保,化学,合成研究员,猎头职位,某南京制药上市公司,1000-2000人,,杭州,南京,本科,5-10年,15-30k·14薪,,,,https://www.liepin.com/a/75455213.shtml,20260522173457.0,,,,,,,
153701,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,1-49人,,杭州,苏州-昆山,学历不限,经验不限,20-30k·13薪,,,,https://www.liepin.com/a/75927259.shtml,20260525100542.0,,,,,,,
153702,猎聘,能源/化工/环保,化学,电镀工艺工程师,猎头职位,某知名公司,,,杭州,苏州-昆山,学历不限,经验不限,20-30k·13薪,,,,https://www.liepin.com/a/75909147.shtml,20260609105447.0,,,,,,,
153703,猎聘,能源/化工/环保,化学,LNP 递送科学家/总监,猎头职位,某南京制药公司,100-499人,,杭州,南京-栖霞区,博士,1-3年,25-35k·14薪,,,,https://www.liepin.com/a/76275025.shtml,20260601171000.0,,,,,,,
153704,猎聘,能源/化工/环保,化学,知识产权经理,猎头职位,某南京医疗器械上市公司,5000-10000人,,杭州,南京-玄武区,统招本科,5年以上,25-40k·14薪,,,,https://www.liepin.com/a/76113395.shtml,20260527142354.0,,,,,,,
